symbol,cik,filingDate,acceptedDate,formType,hasFinancials,link,finalLink
WSUPW,0001819516,2026-06-10 00:00:00,2026-06-10 16:16:32,8-K,False,https://www.sec.gov/Archives/edgar/data/1819516/000162828026042215/0001628280-26-042215-index.htm,https://www.sec.gov/Archives/edgar/data/1819516/000162828026042215/up-20260609.htm
UP-WT,0001819516,2026-06-10 00:00:00,2026-06-10 16:16:32,8-K,False,https://www.sec.gov/Archives/edgar/data/1819516/000162828026042215/0001628280-26-042215-index.htm,https://www.sec.gov/Archives/edgar/data/1819516/000162828026042215/up-20260609.htm
UP,0001819516,2026-06-10 00:00:00,2026-06-10 16:16:32,8-K,False,https://www.sec.gov/Archives/edgar/data/1819516/000162828026042215/0001628280-26-042215-index.htm,https://www.sec.gov/Archives/edgar/data/1819516/000162828026042215/up-20260609.htm
OCC,0001000230,2026-06-10 00:00:00,2026-06-10 16:16:32,8-K,True,https://www.sec.gov/Archives/edgar/data/1000230/000143774926020157/0001437749-26-020157-index.htm,https://www.sec.gov/Archives/edgar/data/1000230/000143774926020157/ex_974886.htm
METCI,0001687187,2026-06-10 00:00:00,2026-06-10 16:16:20,8-K,False,https://www.sec.gov/Archives/edgar/data/1687187/000121390026067334/0001213900-26-067334-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000121390026067334/ea0294323-8k_ramaco.htm
METCZ,0001687187,2026-06-10 00:00:00,2026-06-10 16:16:20,8-K,False,https://www.sec.gov/Archives/edgar/data/1687187/000121390026067334/0001213900-26-067334-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000121390026067334/ea0294323-8k_ramaco.htm
METCL,0001687187,2026-06-10 00:00:00,2026-06-10 16:16:20,8-K,False,https://www.sec.gov/Archives/edgar/data/1687187/000121390026067334/0001213900-26-067334-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000121390026067334/ea0294323-8k_ramaco.htm
METCB,0001687187,2026-06-10 00:00:00,2026-06-10 16:16:20,8-K,False,https://www.sec.gov/Archives/edgar/data/1687187/000121390026067334/0001213900-26-067334-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000121390026067334/ea0294323-8k_ramaco.htm
METC,0001687187,2026-06-10 00:00:00,2026-06-10 16:16:20,8-K,False,https://www.sec.gov/Archives/edgar/data/1687187/000121390026067334/0001213900-26-067334-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000121390026067334/ea0294323-8k_ramaco.htm
ABEO,0000318306,2026-06-10 00:00:00,2026-06-10 16:15:44,8-K,False,https://www.sec.gov/Archives/edgar/data/318306/000149315226028106/0001493152-26-028106-index.htm,https://www.sec.gov/Archives/edgar/data/318306/000149315226028106/form8-k.htm
AMEH,0001083446,2026-06-10 00:00:00,2026-06-10 16:15:42,8-K,False,https://www.sec.gov/Archives/edgar/data/1083446/000110465926072343/0001104659-26-072343-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000110465926072343/tm2614755d1_8k.htm
ASTH,0001083446,2026-06-10 00:00:00,2026-06-10 16:15:42,8-K,False,https://www.sec.gov/Archives/edgar/data/1083446/000110465926072343/0001104659-26-072343-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000110465926072343/tm2614755d1_8k.htm
GETY-WT,0001898496,2026-06-10 00:00:00,2026-06-10 16:15:36,8-K,False,https://www.sec.gov/Archives/edgar/data/1898496/000121390026067331/0001213900-26-067331-index.htm,https://www.sec.gov/Archives/edgar/data/1898496/000121390026067331/ea0294258-8k425_getty.htm
GETY,0001898496,2026-06-10 00:00:00,2026-06-10 16:15:36,8-K,False,https://www.sec.gov/Archives/edgar/data/1898496/000121390026067331/0001213900-26-067331-index.htm,https://www.sec.gov/Archives/edgar/data/1898496/000121390026067331/ea0294258-8k425_getty.htm
XZO,0001873951,2026-06-10 00:00:00,2026-06-10 16:15:36,8-K,False,https://www.sec.gov/Archives/edgar/data/1873951/000119312526265863/0001193125-26-265863-index.htm,https://www.sec.gov/Archives/edgar/data/1873951/000119312526265863/xzo-20260609.htm
INKI,0001753373,2026-06-10 00:00:00,2026-06-10 16:15:34,8-K,False,https://www.sec.gov/Archives/edgar/data/1753373/000149315226028104/0001493152-26-028104-index.htm,https://www.sec.gov/Archives/edgar/data/1753373/000149315226028104/form8-k.htm
